representation,attacker,target,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
V3_sigma0,RandomForest,dominant_cpe,10,0.2196491228070175,0.018691507603249568,0.01158511643801021,0.24385971704786114,0.028014435422637724,0.017363526966650448,0.21186357947509923,0.021531708035870938,0.013345490904192117
V3_sigma0,RandomForest,dominant_rat,10,0.9729824561403507,0.024522386163233437,0.015199132411850993,0.7767929744673931,0.07554987478833296,0.04682629752924605,0.7162769618059617,0.10256985722342601,0.06357345614844287
V3_sigma001,GradientBoosting,dominant_cpe,10,0.24614035087719296,0.017368519502743398,0.010765119917889952,0.24415027895540428,0.02498874634604782,0.015488185447841361,0.23661999920837812,0.01962639881682336,0.012164568015487142
V3_sigma001,GradientBoosting,dominant_rat,10,0.9778947368421053,0.004975917517235696,0.0030841056295046096,0.6277931370954626,0.07083746553664612,0.04390551601481876,0.6453660945850851,0.060856809004346736,0.03771944100638159
V3_sigma001,LogisticRegression,dominant_cpe,10,0.19315789473684208,0.030267889564275004,0.01876023231395189,0.27628785861111943,0.018935444335701553,0.011736309991197576,0.15146474516575822,0.04013811426166561,0.024877860961986388
V3_sigma001,LogisticRegression,dominant_rat,10,0.6249122807017544,0.0986444147612637,0.0611404417035859,0.8087656529516994,0.05029276960100205,0.031171781548339852,0.2901058035319778,0.03631714101112821,0.022509597205332417
V3_sigma001,MLP,dominant_cpe,10,0.28964912280701754,0.022351883960788625,0.013853841209128045,0.25460338446802855,0.01303668796266107,0.008080222912954188,0.21185604608552805,0.024668349929698057,0.015289601691596473
V3_sigma001,MLP,dominant_rat,10,0.9789473684210528,0.0036985703627700458,0.0022923976608187203,0.49910554561717363,0.0018856754085678953,0.0011687537268932548,0.47824983950566696,0.05259041496938062,0.03259587690174478
V3_sigma001,RandomForest,dominant_cpe,10,0.216140350877193,0.012454904806525507,0.007719629976923078,0.2396065598217029,0.02184054477143525,0.013536909896056928,0.2085314853048585,0.013902903481562508,0.008617108853879571
V3_sigma001,RandomForest,dominant_rat,10,0.9771929824561404,0.005789178325503878,0.003588169900736492,0.71655553748577,0.07363759763246448,0.04564105586855563,0.7076332859945642,0.04523301985131437,0.028035716162841794
V3_sigma005,GradientBoosting,dominant_cpe,10,0.24912280701754388,0.01806250901927544,0.011195259076615938,0.24776433351460322,0.025750315077594173,0.015960210637985917,0.23816820799144475,0.018189946615041825,0.011274245716798829
V3_sigma005,GradientBoosting,dominant_rat,10,0.9764912280701754,0.00879917795265685,0.005453786998036446,0.6092535371605139,0.06997977779170128,0.04337391564295187,0.6332528017083013,0.07980441584992112,0.0494632893992986
V3_sigma005,LogisticRegression,dominant_cpe,10,0.1933333333333333,0.032589421299402316,0.02019913259085144,0.27268197208813927,0.01888104203317968,0.011702591094755953,0.14668443399488823,0.03496738778945309,0.021673011491242285
V3_sigma005,LogisticRegression,dominant_rat,10,0.6312280701754387,0.11391296504742483,0.07060398721631055,0.8119856887298746,0.0580772719830341,0.03599666611207244,0.30264299305919506,0.02905824032690932,0.018010483948999494
V3_sigma005,MLP,dominant_cpe,10,0.29017543859649125,0.033839392379164966,0.02097387269264387,0.2531662780785912,0.008938456646176008,0.005540112826642849,0.20107454790645632,0.0215338499886853,0.01334681850030078
V3_sigma005,MLP,dominant_rat,10,0.9682456140350878,0.03584418476133156,0.0222164558846705,0.493649373881932,0.01827476325041054,0.011326815612041307,0.4762982255875044,0.058604688237758384,0.0363235620934976
V3_sigma005,RandomForest,dominant_cpe,10,0.21403508771929824,0.0247140896013046,0.015317951433770615,0.24144805660873678,0.032509601264533824,0.02014965962068413,0.20104096520514295,0.023866363692289803,0.014792525471782024
V3_sigma005,RandomForest,dominant_rat,10,0.9738596491228071,0.011140312504730444,0.006904837226756691,0.7282241014799153,0.0626989393382633,0.03886120521638591,0.7037242601610989,0.05610580884783371,0.03477474060133566
V3_sigma010,GradientBoosting,dominant_cpe,10,0.2426315789473684,0.020055154618467293,0.012430313614555556,0.23968574873554854,0.026057715241855548,0.01615073923373238,0.23189372002932954,0.019866621212255266,0.012313459398738246
V3_sigma010,GradientBoosting,dominant_rat,10,0.979122807017544,0.005451471900080174,0.003378857289713203,0.6551553098064726,0.07757625463847756,0.04808226077254707,0.6539253560093493,0.08975120105112537,0.05562837073922188
V3_sigma010,LogisticRegression,dominant_cpe,10,0.1875438596491228,0.030391920327214376,0.018837107377271987,0.2748975057453257,0.021999883637137767,0.013635669148196828,0.14456523211645605,0.03673918287467604,0.022771181462456033
V3_sigma010,LogisticRegression,dominant_rat,10,0.6678947368421053,0.06681552069659705,0.0414126887764679,0.8306797853309481,0.034065158136905464,0.02111380375902209,0.3053075072000413,0.024106742305993405,0.014941513680121065
V3_sigma010,MLP,dominant_cpe,10,0.2978947368421053,0.01706560605096705,0.010577372215352654,0.2523173799932389,0.007008403568876043,0.004343853535703006,0.20186835145676424,0.020171967383815468,0.012502714916619029
V3_sigma010,MLP,dominant_rat,10,0.979122807017544,0.0033542995087017615,0.0020790163747687446,0.49919499105545617,0.0017101527012164544,0.001059963625776547,0.4782949166112423,0.05260454206280839,0.032604632964966934
V3_sigma010,RandomForest,dominant_cpe,10,0.21105263157894733,0.013640907142214869,0.008454721840370443,0.2381971347886338,0.029871953720961335,0.018514828735806427,0.20154824922191916,0.01215135125378536,0.007531485535698076
V3_sigma010,RandomForest,dominant_rat,10,0.972982456140351,0.015276483618484844,0.009468462643041914,0.7634249471458773,0.05280004127464852,0.032725804631842714,0.6829076353288089,0.13791450521394666,0.08548029593484283
