representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
V3_sigma010,LogisticRegression,dominant_cpe,7,570,0,0.27017543859649124,0.32080417607463974,0.24381716429919792
V3_sigma010,RandomForest,dominant_cpe,7,570,0,0.22105263157894736,0.26953750858511905,0.20961498481659308
V3_sigma010,MLP,dominant_cpe,7,570,0,0.28771929824561404,0.24410453242830335,0.20983086987565472
V3_sigma010,GradientBoosting,dominant_cpe,7,570,0,0.22982456140350876,0.23749521795019635,0.22706369052804593
V3_8D_sigma005,LogisticRegression,dominant_cpe,7,570,0,0.17017543859649123,0.2724322527292368,0.11064599483204134
V3_8D_sigma005,RandomForest,dominant_cpe,7,570,0,0.18596491228070175,0.269441575591616,0.15320480437814088
V3_8D_sigma005,MLP,dominant_cpe,7,570,0,0.27017543859649124,0.23923433096806998,0.15769912711402073
V3_8D_sigma005,GradientBoosting,dominant_cpe,7,570,0,0.23684210526315788,0.26675223980180035,0.23683717440795088
Majority,Baseline,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
StratifiedRandom,Baseline,dominant_rat,7,570,0,0.9736842105263158,0.4964221824686941,0.49333333333333335
RawPrivate,LogisticRegression,dominant_rat,7,570,0,0.980701754385965,0.9901610017889088,0.8283649503161699
RawPrivate,RandomForest,dominant_rat,7,570,0,0.9912280701754386,0.9509676370141487,0.6096163428001993
RawPrivate,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
RawPrivate,GradientBoosting,dominant_rat,7,570,0,0.9894736842105263,0.9500731826313222,0.8819223864107169
V1,LogisticRegression,dominant_rat,7,570,0,0.856140350877193,0.926654740608229,0.5661939411939412
V1,RandomForest,dominant_rat,7,570,0,0.980701754385965,0.589120182143438,0.6284444444444445
V1,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
V1,GradientBoosting,dominant_rat,7,570,0,0.9789473684210527,0.5436656366888925,0.5660999746257295
V2,LogisticRegression,dominant_rat,7,570,0,0.9070175438596492,0.9080338266384778,0.6121503126163486
V2,RandomForest,dominant_rat,7,570,0,0.9929824561403509,0.8181818181818181,0.887106357694593
V2,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
V2,GradientBoosting,dominant_rat,7,570,0,0.9894736842105263,0.7718328183444463,0.8306595365418894
V3_sigma005,LogisticRegression,dominant_rat,7,570,0,0.5596491228070175,0.7754919499105546,0.26559015763168015
V3_sigma005,RandomForest,dominant_rat,7,570,0,0.9701754385964912,0.6728736379899171,0.6523766816143498
V3_sigma005,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma005,GradientBoosting,dominant_rat,7,570,0,0.9789473684210527,0.6327858188323304,0.6613190730837789
PCA3,LogisticRegression,dominant_rat,7,570,0,0.3140350877192982,0.6502683363148479,0.25772104006314717
PCA3,RandomForest,dominant_rat,7,570,0,0.9192982456140351,0.7360546430313872,0.5821913442539359
PCA3,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
PCA3,GradientBoosting,dominant_rat,7,570,0,0.9175438596491228,0.7797202797202798,0.5929746729667725
RandomProjection3,LogisticRegression,dominant_rat,7,570,0,0.8,0.8980322003577818,0.5241094445746426
RandomProjection3,RandomForest,dominant_rat,7,570,0,0.9736842105263158,0.763782728899008,0.7154836777478286
RandomProjection3,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
RandomProjection3,GradientBoosting,dominant_rat,7,570,0,0.9789473684210527,0.6773459099040495,0.6946428571428571
V3_sigma0,LogisticRegression,dominant_rat,7,570,0,0.47719298245614034,0.7334525939177102,0.23631792896876336
V3_sigma0,RandomForest,dominant_rat,7,570,0,0.980701754385965,0.633680273215157,0.6715729925095595
V3_sigma0,MLP,dominant_rat,7,570,0,0.9789473684210527,0.4991055456171735,0.4946808510638298
V3_sigma0,GradientBoosting,dominant_rat,7,570,0,0.9771929824561404,0.587331273377785,0.6118589911476612
V3_sigma001,LogisticRegression,dominant_rat,7,570,0,0.47017543859649125,0.7298747763864043,0.2337768440709617
